Record Length,10000,,Source,CH1,CH2
Sample Interval,CH1:0.0000000400000 CH2:0.0000000400000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00020048000,0.01200,-0.08000
Vertical Scale,CH1:0.05 CH2:1.00,,-0.00020044000,0.01200,-0.04000
Vertical Offset,CH1:0.00 CH2:0.00,,-0.00020040000,0.01000,-0.04000
Horizontal Units,s,,-0.00020035999,0.01000,-0.04000
Horizontal Scale,0.0000250000,,-0.00020031999,0.01000,-0.04000
Model Number,¯¶¤”-4115/1A,,-0.00020028000,0.01000,-0.08000
Serial Number,SDS1MJGQ6R6053,,-0.00020024000,0.01000,-0.08000
Software Version,3.01.01.31R20,,-0.00020020000,0.01000,-0.08000
,,,-0.00020015999,0.00800,-0.04000
,,,-0.00020012000,0.01000,-0.04000
,,,-0.00020008000,0.01000,-0.04000
,,,-0.00020004000,0.01000,-0.04000
,,,-0.00019999999,0.01200,-0.04000
,,,-0.00019995999,0.01000,-0.04000
,,,-0.00019992000,0.01000,-0.04000
,,,-0.00019988000,0.01200,-0.04000
,,,-0.00019984000,0.01000,-0.04000
,,,-0.00019979999,0.00800,-0.04000
,,,-0.00019976000,0.01000,-0.04000
,,,-0.00019972000,0.01000,-0.04000
,,,-0.00019968000,0.01000,0.00
,,,-0.00019964000,0.01000,0.00
,,,-0.00019959999,0.01000,0.00
,,,-0.00019956000,0.01200,-0.04000
,,,-0.00019952000,0.01000,-0.04000
,,,-0.00019948000,0.01000,-0.04000
,,,-0.00019943999,0.01000,-0.04000
,,,-0.00019940000,0.01000,-0.04000
,,,-0.00019936000,0.01000,-0.04000
,,,-0.00019932000,0.00800,-0.04000
,,,-0.00019928000,0.00600,0.00
,,,-0.00019923999,0.00800,0.00
,,,-0.00019920000,0.01000,0.00
,,,-0.00019916000,0.01200,0.00
,,,-0.00019912000,0.01200,0.00
,,,-0.00019907999,0.01000,0.00
,,,-0.00019904001,0.00800,0.00
,,,-0.00019900000,0.00800,0.00
,,,-0.00019896000,0.00600,0.00
,,,-0.00019892000,0.00800,0.00
,,,-0.00019887999,0.01000,0.00
,,,-0.00019884000,0.00800,0.00
,,,-0.00019880000,0.00600,0.00
,,,-0.00019876000,0.00400,0.00
,,,-0.00019871999,0.00600,0.00
,,,-0.00019868001,0.01200,0.00
,,,-0.00019864000,0.01200,0.00
,,,-0.00019860000,0.00800,0.00
,,,-0.00019856000,0.00800,0.00
,,,-0.00019851999,0.00800,0.04000
,,,-0.00019848000,0.00600,0.04000
,,,-0.00019844000,0.00800,0.04000
,,,-0.00019840000,0.00800,0.04000
,,,-0.00019835999,0.00600,0.04000
,,,-0.00019832001,0.00800,0.04000
,,,-0.00019828000,0.00800,0.04000
,,,-0.00019824000,0.00600,0.04000
,,,-0.00019820000,0.00600,0.04000
,,,-0.00019815999,0.00600,0.04000
,,,-0.00019812000,0.00400,0.04000
,,,-0.00019808000,0.00400,0.04000
,,,-0.00019804000,0.00400,0.08000
,,,-0.00019799999,0.00600,0.08000
,,,-0.00019796001,0.01000,0.08000
,,,-0.00019792000,0.00800,0.08000
,,,-0.00019788000,0.00400,0.08000
,,,-0.00019784000,0.00400,0.08000
,,,-0.00019779999,0.00400,0.08000
,,,-0.00019776000,0.00400,0.08000
,,,-0.00019772000,0.00600,0.08000
,,,-0.00019768000,0.00600,0.08000
,,,-0.00019763999,0.00600,0.08000
,,,-0.00019760001,0.00600,0.08000
,,,-0.00019756000,0.00400,0.08000
,,,-0.00019752000,0.00200,0.08000
,,,-0.00019748000,0.00400,0.12000
,,,-0.00019743999,0.00400,0.12000
,,,-0.00019740000,0.00200,0.08000
,,,-0.00019736000,0.00200,0.12000
,,,-0.00019732000,0.00,0.12000
,,,-0.00019727999,0.00200,0.12000
,,,-0.00019724001,0.00200,0.12000
,,,-0.00019720000,0.00200,0.12000
,,,-0.00019716000,0.00400,0.12000
,,,-0.00019712000,0.00400,0.12000
,,,-0.00019707999,0.00400,0.12000
,,,-0.00019704000,0.00600,0.12000
,,,-0.00019700000,0.00600,0.16000
,,,-0.00019696000,0.00200,0.16000
,,,-0.00019691999,0.00200,0.12000
,,,-0.00019687999,0.00400,0.12000
,,,-0.00019684000,0.00200,0.12000
,,,-0.00019680000,0.00,0.12000
,,,-0.00019676000,0.00200,0.12000
,,,-0.00019671999,0.00600,0.12000
,,,-0.00019668000,0.00600,0.12000
,,,-0.00019664000,0.00600,0.12000
,,,-0.00019660000,0.00600,0.16000
,,,-0.00019655999,0.00400,0.16000
,,,-0.00019651999,0.00200,0.12000
,,,-0.00019648000,0.00200,0.12000
,,,-0.00019644000,0.00200,0.12000
,,,-0.00019640000,0.00200,0.12000
,,,-0.00019635999,0.00400,0.16000
,,,-0.00019632000,0.00200,0.16000
,,,-0.00019628000,0.00,0.16000
,,,-0.00019624000,0.00,0.16000
,,,-0.00019620000,0.00,0.16000
,,,-0.00019615999,0.00200,0.16000
,,,-0.00019612000,0.00200,0.16000
,,,-0.00019608000,0.00,0.16000
,,,-0.00019604000,0.00,0.16000
,,,-0.00019599999,0.00,0.16000
,,,-0.00019596000,0.00,0.20000
,,,-0.00019592000,0.00200,0.20000
,,,-0.00019588000,0.00200,0.20000
,,,-0.00019584000,0.00,0.20000
,,,-0.00019579999,-0.00200,0.20000
,,,-0.00019576000,-0.00200,0.20000
,,,-0.00019572000,-0.00200,0.20000
,,,-0.00019568000,-0.00200,0.20000
,,,-0.00019563999,-0.00200,0.24000
,,,-0.00019560001,-0.00200,0.24000
,,,-0.00019556000,-0.00200,0.24000
,,,-0.00019552000,-0.00400,0.24000
,,,-0.00019548000,-0.00200,0.24000
,,,-0.00019543999,0.00,0.24000
,,,-0.00019540000,-0.00400,0.24000
,,,-0.00019536000,-0.00600,0.24000
,,,-0.00019532000,-0.00400,0.28000
,,,-0.00019527999,-0.00400,0.28000
,,,-0.00019524001,-0.00400,0.28000
,,,-0.00019520000,-0.00400,0.28000
,,,-0.00019516000,-0.00200,0.28000
,,,-0.00019512000,-0.00200,0.28000
,,,-0.00019507999,-0.00200,0.28000
,,,-0.00019504000,-0.00400,0.28000
,,,-0.00019500000,-0.00400,0.28000
,,,-0.00019496000,-0.00600,0.32000
,,,-0.00019491999,-0.00600,0.32000
,,,-0.00019488001,-0.00600,0.32000
,,,-0.00019484000,-0.00600,0.32000
,,,-0.00019480000,-0.00600,0.32000
,,,-0.00019476000,-0.00600,0.32000
,,,-0.00019471999,-0.00600,0.32000
,,,-0.00019468000,-0.00400,0.32000
,,,-0.00019464000,-0.00400,0.32000
,,,-0.00019460000,-0.00400,0.32000
,,,-0.00019455999,-0.00400,0.32000
,,,-0.00019452001,-0.00400,0.32000
,,,-0.00019448000,-0.00600,0.32000
,,,-0.00019444000,-0.00400,0.32000
,,,-0.00019440000,-0.00600,0.36000
,,,-0.00019435999,-0.00600,0.36000
,,,-0.00019432000,-0.00600,0.36000
,,,-0.00019428000,-0.00400,0.36000
,,,-0.00019424000,-0.00400,0.36000
,,,-0.00019419999,-0.00600,0.36000
,,,-0.00019416001,-0.00600,0.36000
,,,-0.00019412000,-0.00600,0.36000
,,,-0.00019408000,-0.00800,0.36000
,,,-0.00019404000,-0.00800,0.40000
,,,-0.00019399999,-0.00800,0.40000
,,,-0.00019396000,-0.00600,0.36000
,,,-0.00019392000,-0.00600,0.36000
,,,-0.00019388000,-0.00600,0.36000
,,,-0.00019383999,-0.00800,0.36000
,,,-0.00019380001,-0.01200,0.36000
,,,-0.00019376000,-0.01200,0.40000
,,,-0.00019372000,-0.01000,0.40000
,,,-0.00019368000,-0.00800,0.40000
,,,-0.00019363999,-0.00800,0.40000
,,,-0.00019360000,-0.00800,0.40000
,,,-0.00019356000,-0.00800,0.40000
,,,-0.00019352000,-0.00800,0.40000
,,,-0.00019347999,-0.00800,0.40000
,,,-0.00019343999,-0.00800,0.40000
,,,-0.00019340000,-0.00800,0.44000
,,,-0.00019336000,-0.01000,0.44000
,,,-0.00019332000,-0.01400,0.44000
,,,-0.00019327999,-0.01000,0.40000
,,,-0.00019324000,-0.01000,0.40000
,,,-0.00019320000,-0.01200,0.40000
,,,-0.00019316000,-0.01000,0.40000
,,,-0.00019311999,-0.00800,0.44000
,,,-0.00019307999,-0.01000,0.44000
,,,-0.00019304000,-0.01000,0.44000
,,,-0.00019300000,-0.01000,0.44000
,,,-0.00019296000,-0.01000,0.44000
,,,-0.00019291999,-0.01200,0.44000
,,,-0.00019288000,-0.01400,0.48000
,,,-0.00019284000,-0.01200,0.48000
,,,-0.00019280000,-0.01200,0.44000
,,,-0.00019276000,-0.01000,0.44000
,,,-0.00019271999,-0.01000,0.48000
,,,-0.00019268000,-0.01000,0.48000
,,,-0.00019264000,-0.01000,0.48000
,,,-0.00019260000,-0.01200,0.48000
,,,-0.00019255999,-0.01200,0.48000
,,,-0.00019252000,-0.01000,0.48000
,,,-0.00019248000,-0.00800,0.48000
,,,-0.00019244000,-0.01000,0.48000
,,,-0.00019240000,-0.01200,0.48000
,,,-0.00019235999,-0.01200,0.48000
,,,-0.00019232000,-0.01200,0.52000
,,,-0.00019228000,-0.01200,0.52000
,,,-0.00019224000,-0.01400,0.52000
,,,-0.00019219999,-0.01600,0.52000
,,,-0.00019216001,-0.01400,0.52000
,,,-0.00019212000,-0.01400,0.52000
,,,-0.00019208000,-0.01200,0.52000
,,,-0.00019204000,-0.01200,0.52000
,,,-0.00019199999,-0.01400,0.52000
,,,-0.00019196000,-0.01400,0.52000
,,,-0.00019192000,-0.01600,0.52000
,,,-0.00019188000,-0.01400,0.52000
,,,-0.00019183999,-0.01200,0.52000
,,,-0.00019180001,-0.01400,0.52000
,,,-0.00019176000,-0.01400,0.52000
,,,-0.00019172000,-0.01400,0.52000
,,,-0.00019168000,-0.01400,0.52000
,,,-0.00019163999,-0.01400,0.52000
,,,-0.00019160000,-0.01400,0.52000
,,,-0.00019156000,-0.01400,0.56000
,,,-0.00019152000,-0.01600,0.56000
,,,-0.00019147999,-0.01600,0.56000
,,,-0.00019144001,-0.01600,0.56000
,,,-0.00019140000,-0.01600,0.56000
,,,-0.00019136000,-0.01600,0.56000
,,,-0.00019132000,-0.01800,0.56000
,,,-0.00019127999,-0.02000,0.56000
,,,-0.00019124000,-0.02000,0.56000
,,,-0.00019120000,-0.02000,0.60000
,,,-0.00019116000,-0.01800,0.60000
,,,-0.00019111999,-0.01400,0.60000
,,,-0.00019108001,-0.01400,0.60000
,,,-0.00019104000,-0.01600,0.56000
,,,-0.00019100000,-0.01600,0.60000
,,,-0.00019096000,-0.01800,0.60000
,,,-0.00019091999,-0.01800,0.60000
,,,-0.00019088000,-0.01800,0.60000
,,,-0.00019084000,-0.02000,0.60000
,,,-0.00019080000,-0.01800,0.60000
,,,-0.00019075999,-0.01400,0.60000
,,,-0.00019072001,-0.01400,0.60000
,,,-0.00019068000,-0.01600,0.60000
,,,-0.00019064000,-0.01600,0.60000
,,,-0.00019060000,-0.01800,0.60000
,,,-0.00019055999,-0.02000,0.60000
,,,-0.00019052000,-0.02000,0.60000
,,,-0.00019048000,-0.02000,0.60000
,,,-0.00019044000,-0.01800,0.64000
,,,-0.00019039999,-0.01800,0.64000
,,,-0.00019036001,-0.02000,0.64000
,,,-0.00019032000,-0.01800,0.64000
,,,-0.00019028000,-0.01800,0.64000
,,,-0.00019024000,-0.02000,0.64000
,,,-0.00019019999,-0.02000,0.64000
,,,-0.00019016000,-0.02000,0.64000
